name,popularity,followers,genres,date
Taylor Swift,100,110018310,['pop'],2024-05-14
Drake,93,87652359,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2024-05-14
Bad Bunny,91,81055703,"['reggaeton', 'trap latino', 'urbano latino']",2024-05-14
The Weeknd,91,83230718,"['canadian contemporary r&b', 'canadian pop', 'pop']",2024-05-14
Future,90,16967058,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",2024-05-14
Travis Scott,90,29262871,"['rap', 'slap house']",2024-05-14
Kendrick Lamar,90,28758746,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",2024-05-14
Ariana Grande,90,96245474,['pop'],2024-05-14
Metro Boomin,90,8052123,['rap'],2024-05-14
Kanye West,89,25258883,"['chicago rap', 'hip hop', 'rap']",2024-05-14
Feid,88,11118133,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2024-05-14
Post Malone,88,43845207,"['dfw rap', 'melodic rap', 'pop', 'rap']",2024-05-14
SZA,88,19838645,"['pop', 'r&b', 'rap']",2024-05-14
21 Savage,87,18427480,"['atl hip hop', 'hip hop', 'rap']",2024-05-14
Peso Pluma,87,13422707,"['corridos tumbados', 'sad sierreno']",2024-05-14
Lana Del Rey,87,34944241,"['art pop', 'pop']",2024-05-14
Beyoncé,87,37341574,"['pop', 'r&b']",2024-05-14
Dua Lipa,87,43311891,"['dance pop', 'pop', 'uk pop']",2024-05-14
Rihanna,87,59813781,"['barbadian pop', 'pop', 'urban contemporary']",2024-05-14
KAROL G,86,46163586,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2024-05-14
Natanael Cano,86,12519487,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']",2024-05-14
Billie Eilish,86,93805004,"['art pop', 'pop']",2024-05-14
Justin Bieber,86,74867315,"['canadian pop', 'pop']",2024-05-14
Rauw Alejandro,86,21597242,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",2024-05-14
Junior H,86,15832722,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']",2024-05-14
Morgan Wallen,86,9333183,['contemporary country'],2024-05-14
Olivia Rodrigo,86,35775745,['pop'],2024-05-14
Playboi Carti,85,10667554,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']",2024-05-14
Fuerza Regida,85,8783683,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",2024-05-14
David Guetta,85,25445428,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",2024-05-14
Zach Bryan,85,3861660,['classic oklahoma country'],2024-05-14
Myke Towers,85,14707990,"['reggaeton', 'trap latino', 'urbano latino']",2024-05-14
Benson Boone,84,2479426,['singer-songwriter pop'],2024-05-14
Chris Brown,84,21635560,"['r&b', 'rap']",2024-05-14
J. Cole,84,23462332,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",2024-05-14
Doja Cat,84,29763034,"['dance pop', 'pop']",2024-05-14
Anuel AA,84,35404295,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']",2024-05-14
Hozier,84,7040373,"['irish singer-songwriter', 'modern rock', 'pov: indie']",2024-05-14
Sabrina Carpenter,83,8296657,['pop'],2024-05-14
Shakira,83,32852852,"['colombian pop', 'dance pop', 'latin pop', 'pop']",2024-05-14
Jung Kook,83,14256172,['k-pop'],2024-05-14
